bounding_hues_from_renotation:1 | vars: hue=[7.1955761172356603, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.1955761172356603, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.48894029308914 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.19557611723566, 9.0, 2.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.29906530865931724, 0.3327140164805595] | action: RETURN xy coordinates calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.1955761172356603, 9, 4.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.1955761172356603, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.1955761172356603, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.48894029308914 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.19557611723566, 9.0, 4.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.28882102472083926, 0.3468062634080133] | action: RETURN xy coordinates calculated
hue_angle_to_hue:1 | vars: hue_angle=140.0334375758637 | action: ENTER angle to hue conversion
hue_angle_to_hue:999 | vars: result=[ 7.01337503  3.        ] | action: RETURN hue calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.0133750303454789, 9, 2.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.0133750303454789, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.0133750303454789, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.0334375758637 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.013375030345479, 9.0, 2.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.2992839499635854, 0.33296180995873015] | action: RETURN xy coordinates calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.0133750303454789, 9, 4.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.0133750303454789, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.0133750303454789, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.0334375758637 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.013375030345479, 9.0, 4.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.28919271493809523, 0.3472289699295985] | action: RETURN xy coordinates calculated
hue_angle_to_hue:1 | vars: hue_angle=140.26092212520064 | action: ENTER angle to hue conversion
hue_angle_to_hue:999 | vars: result=[ 7.10436885  3.        ] | action: RETURN hue calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.104368850080256, 9, 2.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.104368850080256, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.104368850080256, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.26092212520064 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.104368850080256, 9.0, 2.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.29917475737990373, 0.33283805836389085] | action: RETURN xy coordinates calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.104368850080256, 9, 4.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.104368850080256, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.104368850080256, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.26092212520064 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.104368850080256, 9.0, 4.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.2890070875458363, 0.34701786426781384] | action: RETURN xy coordinates calculated
maximum_chroma_from_renotation:1 | vars: hue=[7.104368850080256, 9.277363517309352, 3.0], value=None | action: ENTER maximum chroma lookup
bounding_hues_from_renotation:1 | vars: hue=[7.104368850080256, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
maximum_chroma_from_renotation:999 | vars: result=17.82325068853272 | action: RETURN maximum chroma found
